cityLabel,year,population
Taibe,2009-12-31T00:00:00Z,36500
Taibe,2010-12-31T00:00:00Z,37300
Taibe,2011-12-31T00:00:00Z,38200
Taibe,2012-12-31T00:00:00Z,38100
Taibe,2013-12-31T00:00:00Z,39600
Taibe,2014-12-31T00:00:00Z,40200
Taibe,2015-01-01T00:00:00Z,40941
Taibe,2015-12-31T00:00:00Z,40900
Taibe,2016-12-31T00:00:00Z,41600
Taibe,2017-12-31T00:00:00Z,42400
Taibe,2018-12-31T00:00:00Z,43100
Farim,2009-01-01T00:00:00Z,46268
Oyo,2012-01-01T00:00:00Z,386723
Jalingo,2016-01-01T00:00:00Z,660213
Ikeja,2015-01-01T00:00:00Z,861300
Kariba,2002-01-01T00:00:00Z,24210
Korogwe,2002-01-01T00:00:00Z,44000
Songo,2007-01-01T00:00:00Z,36523
Abengourou,1975-04-30T00:00:00Z,30028
Abengourou,1988-03-01T00:00:00Z,58974
Abengourou,1998-12-20T00:00:00Z,79509
Abengourou,2010-01-01T00:00:00Z,144074
Abengourou,2021-01-01T00:00:00Z,164424
Khemisset,1994-01-01T00:00:00Z,88839
Khemisset,2004-01-01T00:00:00Z,105088
Khemisset,2014-01-01T00:00:00Z,131542
Khemisset,2024-01-01T00:00:00Z,125834
Centre de Flacq,2011-01-01T00:00:00Z,15791
Asaba,2023-01-01T00:00:00Z,149603
Tepi,2007-01-01T00:00:00Z,24829
Debarq,2007-01-01T00:00:00Z,20839
Koumra,2010-01-01T00:00:00Z,39852
Chibombo,2010-10-16T00:00:00Z,4310
Chinsali,1990-08-20T00:00:00Z,7509
Chinsali,2000-10-20T00:00:00Z,11507
Chinsali,2010-10-16T00:00:00Z,15198
Chinsali,2013-01-01T00:00:00Z,18288
Matola,2017-01-01T00:00:00Z,1032197
Siguiri,2014-01-01T00:00:00Z,183875
Dabola,2014-01-01T00:00:00Z,38617
Al Mokattam,2024-01-01T00:00:00Z,242009
Grand-Lahou,2014-05-15T00:00:00Z,28470
Mwanza,1978-08-26T00:00:00Z,110553
Mwanza,1988-08-28T00:00:00Z,172287
Mwanza,2002-01-01T00:00:00Z,385810
Mwanza,2012-08-26T00:00:00Z,706453
Oumé,2021-01-01T00:00:00Z,127153
Mapai,2005-01-01T00:00:00Z,19932
Welkite,2007-01-01T00:00:00Z,28866
Agaro,2007-01-01T00:00:00Z,25458
Bakoumba,2003-12-01T00:00:00Z,2197
Bakoumba,2013-10-01T00:00:00Z,4045
Dar El Salam,2024-01-01T00:00:00Z,567517
Sotouboua,2022-01-01T00:00:00Z,32464
Sharuna,2006-11-11T00:00:00Z,22221
Ciudad de la Paz,2022-01-01T00:00:00Z,2000
Impfondo,2007-01-01T00:00:00Z,33911
Impfondo,2018-01-01T00:00:00Z,39653
Sumbawanga,2002-01-01T00:00:00Z,147483
Togo Wuchale,2007-01-01T00:00:00Z,14438
Koupéla,1985-01-01T00:00:00Z,9619
Koupéla,1996-01-01T00:00:00Z,17619
Koupéla,2006-01-01T00:00:00Z,28151
Koupéla,2019-01-01T00:00:00Z,45900
Polokwane Ext 44,2011-01-01T00:00:00Z,11928
Ain Aouda,1994-01-01T00:00:00Z,13708
Ain Aouda,2004-01-01T00:00:00Z,25105
Ain Aouda,2014-01-01T00:00:00Z,49816
Ain Aouda,2024-01-01T00:00:00Z,98502
Degehabur,2007-01-01T00:00:00Z,30027
Kantè,2023-01-01T00:00:00Z,15313
kpélé-adéta,2022-01-01T00:00:00Z,15146
City of Cape Town,2001-10-09T00:00:00Z,2892243
City of Cape Town,2011-10-09T00:00:00Z,3740026
City of Cape Town,2016-03-06T00:00:00Z,4005016
Catió,1979-04-16T00:00:00Z,5170
Catió,2009-01-01T00:00:00Z,5081
Man,2021-01-01T00:00:00Z,241969
Hwange,1992-01-01T00:00:00Z,42581
Kaga-Bandoro,2003-01-01T00:00:00Z,24661
Al-Jamāliyah,2013-01-01T00:00:00Z,38908
New Cairo,2023-01-01T00:00:00Z,1500000
New Minya,2006-01-01T00:00:00Z,208
New Minya,2021-01-01T00:00:00Z,17470
New Borg El Arab,2022-01-01T00:00:00Z,170000
New Beni Suef City,2019-01-01T00:00:00Z,105000
Al Ibrāhīmīyah,2006-01-01T00:00:00Z,32167
Turki,2004-01-01T00:00:00Z,3661
Lubango,2014-01-01T00:00:00Z,776249
Lubango,2019-01-01T00:00:00Z,903564
New Damietta,2006-01-01T00:00:00Z,27028
Musturud,2006-11-11T00:00:00Z,106280
Ginchi,2007-01-01T00:00:00Z,18134
Nanyuki,1999-01-01T00:00:00Z,31577
Manyinga,2010-01-01T00:00:00Z,12760
Dome,2007-01-01T00:00:00Z,56655
Dania,2021-01-01T00:00:00Z,106612
Samannud,2006-11-11T00:00:00Z,57177
Gqeberha,2011-01-01T00:00:00Z,312392
Keur Massar Nord,2023-01-01T00:00:00Z,224765
Bui,2007-01-01T00:00:00Z,6966
Tora,2007-01-01T00:00:00Z,9167
Tangier,2014-01-01T00:00:00Z,947952
Tangier,2024-01-01T00:00:00Z,1275428
Ambo,2007-01-01T00:00:00Z,48171
Hadero,2007-01-01T00:00:00Z,17831
Duékoué,2021-01-01T00:00:00Z,220953
Dembo,2005-01-01T00:00:00Z,2284
Adzopé,2021-01-01T00:00:00Z,156488
Sinfra,2021-01-01T00:00:00Z,137210
Vavoua,1998-01-01T00:00:00Z,286182
Vavoua,2014-05-15T00:00:00Z,67096
Vavoua,2021-01-01T00:00:00Z,132528
Wacha,2007-01-01T00:00:00Z,10499
Tarcha,2007-01-01T00:00:00Z,9080
Jorf,1994-01-01T00:00:00Z,12143
Jorf,2004-01-01T00:00:00Z,12135
Jorf,2014-01-01T00:00:00Z,12302
Jorf,2024-01-01T00:00:00Z,11865
Makamba,2008-01-01T00:00:00Z,9396
Gimbichu,2007-01-01T00:00:00Z,8556
Ruhango,2012-01-01T00:00:00Z,17051
Q129871284,2023-01-01T00:00:00Z,105362
Q129909528,2023-01-01T00:00:00Z,71036
Cap Malheureux,2011-01-01T00:00:00Z,5070
Luxor,1986-11-17T00:00:00Z,126160
Luxor,1996-11-19T00:00:00Z,153758
Luxor,2006-11-11T00:00:00Z,202232
Harad,2007-01-01T00:00:00Z,9359
Oran,2008-04-14T00:00:00Z,803329
Oran,2010-01-01T00:00:00Z,852000
Bare,2007-01-01T00:00:00Z,8117
Skhirat,1994-01-01T00:00:00Z,29599
Skhirat,2004-01-01T00:00:00Z,43025
Skhirat,2014-01-01T00:00:00Z,59775
Skhirat,2024-01-01T00:00:00Z,122705
Port Said,1986-11-17T00:00:00Z,401172
Port Said,1996-11-19T00:00:00Z,472331
Port Said,2004-01-01T00:00:00Z,529684
Port Said,2006-11-11T00:00:00Z,570603
Port Said,2010-01-01T00:00:00Z,524433
Suez,2010-01-01T00:00:00Z,516959
Monze,1974-01-01T00:00:00Z,5100
Monze,1990-08-20T00:00:00Z,15910
Monze,2000-10-20T00:00:00Z,24603
Monze,2010-10-16T00:00:00Z,39752
Monze,2013-01-01T00:00:00Z,46876
Mansôa,2008-01-01T00:00:00Z,7376
Liwonde,2018-01-01T00:00:00Z,36421
Gikongoro,2012-01-01T00:00:00Z,16695
Fayed,1996-11-19T00:00:00Z,15652
Fayed,2006-11-11T00:00:00Z,21808
Kom Ombo,1986-11-17T00:00:00Z,52506
Kom Ombo,1996-11-19T00:00:00Z,62301
Kom Ombo,2006-11-11T00:00:00Z,71596
Mango,2022-01-01T00:00:00Z,34791
Victoria Falls,2012-01-01T00:00:00Z,33060
São Filipe,2010-01-01T00:00:00Z,8122
Zagazig,1986-11-17T00:00:00Z,244354
Zagazig,1996-11-19T00:00:00Z,267469
Zagazig,2006-11-11T00:00:00Z,302840
Zagazig,2017-07-01T00:00:00Z,383703
Ras Gharib,2006-11-11T00:00:00Z,100000
Oranjemund,2011-01-01T00:00:00Z,3900
Selebi-Phikwe,2011-01-01T00:00:00Z,49724
Farafra Town,2006-11-11T00:00:00Z,3470
Mut,2006-11-11T00:00:00Z,19616
Siwa Town,2006-11-11T00:00:00Z,13202
Maamba,1990-08-20T00:00:00Z,8817
Maamba,2000-10-20T00:00:00Z,10415
Maamba,2010-10-16T00:00:00Z,14322
Fraita,1994-01-01T00:00:00Z,10222
Fraita,2004-01-01T00:00:00Z,10555
Fraita,2014-01-01T00:00:00Z,11298
Fraita,2024-01-01T00:00:00Z,10721
Zaio,1994-01-01T00:00:00Z,25920
Zaio,2004-01-01T00:00:00Z,29851
Zaio,2014-01-01T00:00:00Z,35806
Zaio,2024-01-01T00:00:00Z,36766
Kisangani,2012-01-01T00:00:00Z,935977
Kisangani,2022-01-01T00:00:00Z,1366000
Keta,2012-01-01T00:00:00Z,22739
Zaria,2006-01-01T00:00:00Z,408198
Jilib,2007-01-01T00:00:00Z,45000
Danané,2021-01-01T00:00:00Z,131586
Ndindi,2003-12-01T00:00:00Z,1239
Ndindi,2013-10-01T00:00:00Z,1110
Tanga,1978-01-01T00:00:00Z,103399
Tanga,1988-01-01T00:00:00Z,137364
Tanga,2001-01-01T00:00:00Z,200000
Tanga,2002-01-01T00:00:00Z,172557
Tanga,2005-01-01T00:00:00Z,224891
Tanga,2012-01-01T00:00:00Z,221127
Divo,2014-01-01T00:00:00Z,179455
Divo,2021-01-01T00:00:00Z,294559
Singida,1978-08-26T00:00:00Z,29258
Singida,1988-08-28T00:00:00Z,39598
Singida,2002-08-01T00:00:00Z,57904
Singida,2012-01-01T00:00:00Z,85242
Singida,2022-08-23T00:00:00Z,165492
Gourcy,1985-01-01T00:00:00Z,14401
Gourcy,1996-01-01T00:00:00Z,16317
Gourcy,2006-01-01T00:00:00Z,24616
Gourcy,2019-01-01T00:00:00Z,40144
Guiglo,2021-01-01T00:00:00Z,171454
Kasulu,2017-01-01T00:00:00Z,234452
Gwanda,2004-01-01T00:00:00Z,14450
Garoua,2005-01-01T00:00:00Z,235996
Garoua,2020-01-01T00:00:00Z,1750000
Soubré,2021-01-01T00:00:00Z,272773
Dabou,2021-01-01T00:00:00Z,138083
Bouaflé,2021-01-01T00:00:00Z,213967
Lüderitz,2011-01-01T00:00:00Z,12537
Keetmanshoop,2010-01-01T00:00:00Z,16800
Keetmanshoop,2011-01-01T00:00:00Z,18900
Bailundo,2014-01-01T00:00:00Z,294494
Kebri Beyah,2007-01-01T00:00:00Z,11481
Kongoussi,1985-01-01T00:00:00Z,6578
Kongoussi,1996-01-01T00:00:00Z,17893
Kongoussi,2006-01-01T00:00:00Z,25172
Kongoussi,2019-01-01T00:00:00Z,53641
Port Loko,2016-01-01T00:00:00Z,44900
Temara,1994-01-01T00:00:00Z,130793
Temara,2004-01-01T00:00:00Z,225497
Temara,2014-01-01T00:00:00Z,313510
Temara,2024-01-01T00:00:00Z,297098
Trindade,2005-01-01T00:00:00Z,6636
El Oued,2008-01-01T00:00:00Z,134699
Khenchela,2008-01-01T00:00:00Z,108580
Bobonong,2022-01-01T00:00:00Z,21216
Djibo,1985-01-01T00:00:00Z,16082
Djibo,1996-01-01T00:00:00Z,20080
Djibo,2006-01-01T00:00:00Z,28990
Djibo,2019-01-01T00:00:00Z,61456
Jaxaay-Parcelles-Niakoul Rab,2013-01-01T00:00:00Z,41570
Zavala,2007-01-01T00:00:00Z,10391
Gitega,1990-01-01T00:00:00Z,20708
Gitega,2008-01-01T00:00:00Z,41944
Gitega,2020-01-01T00:00:00Z,135467
Mupandawana,2015-01-01T00:00:00Z,5409
Mbombela,2011-01-01T00:00:00Z,58670
Agadir,1982-09-03T00:00:00Z,132387
Agadir,1994-01-01T00:00:00Z,254865
Agadir,2004-01-01T00:00:00Z,346106
Agadir,2014-01-01T00:00:00Z,421844
Agadir,2023-07-01T00:00:00Z,538000
Agadir,2024-01-01T00:00:00Z,504768
Palapye,2011-01-01T00:00:00Z,36211
Molepolole,2001-01-01T00:00:00Z,54561
Molepolole,2011-01-01T00:00:00Z,67598
Maun,2012-01-01T00:00:00Z,57067
Marsabit,2012-01-01T00:00:00Z,17127
Kamsar,1996-01-01T00:00:00Z,68999
Oued Zem,1994-01-01T00:00:00Z,73953
Oued Zem,2004-01-01T00:00:00Z,83970
Oued Zem,2014-01-01T00:00:00Z,95267
Oued Zem,2024-01-01T00:00:00Z,93776
Kawambwa,2010-01-01T00:00:00Z,15953
Khorixas,2001-01-01T00:00:00Z,10906
Khorixas,2011-01-01T00:00:00Z,6796
Khorixas,2023-01-01T00:00:00Z,9371
Sibut,2003-01-01T00:00:00Z,22419
Outapi,2005-01-01T00:00:00Z,4606
Toamasina,2010-01-01T00:00:00Z,225116
Mao,2008-01-01T00:00:00Z,19004
Meknes,1982-01-01T00:00:00Z,319783
Meknes,1994-01-01T00:00:00Z,393791
Meknes,2004-01-01T00:00:00Z,469169
Meknes,2014-01-01T00:00:00Z,520428
Meknes,2023-07-01T00:00:00Z,601000
Meknes,2024-01-01T00:00:00Z,551503
Teseney,2004-01-01T00:00:00Z,3753
Ile Ife,2003-01-01T00:00:00Z,501952
Omdurman,2009-01-01T00:00:00Z,2395159
Omdurman,2012-01-01T00:00:00Z,2805396
Qus,2006-11-11T00:00:00Z,60068
Qus,2021-07-01T00:00:00Z,84386
Tobruk,2011-01-01T00:00:00Z,135832
Maghagha,1986-11-17T00:00:00Z,50916
Maghagha,1996-11-19T00:00:00Z,60405
Maghagha,2006-11-11T00:00:00Z,75657
Loum,1976-04-09T00:00:00Z,26754
Loum,1987-04-10T00:00:00Z,28465
Loum,2005-11-11T00:00:00Z,37537
Loum,2012-01-01T00:00:00Z,47305
Kano,1990-01-01T00:00:00Z,2095000
Kano,2000-01-01T00:00:00Z,2602000
Kano,2007-01-01T00:00:00Z,3848885
Kano,2019-01-01T00:00:00Z,3999000
Kano,2022-01-01T00:00:00Z,4348000
Ibadan,2006-01-01T00:00:00Z,2550593
Safi,1994-01-01T00:00:00Z,262276
Safi,2004-01-01T00:00:00Z,284750
Safi,2014-01-01T00:00:00Z,308508
Safi,2024-01-01T00:00:00Z,323888
Nouadhibou,2000-11-01T00:00:00Z,72337
Nouadhibou,2013-03-25T00:00:00Z,118000
Zeghanghane,1994-01-01T00:00:00Z,19012
Zeghanghane,2004-01-01T00:00:00Z,20181
Zeghanghane,2014-01-01T00:00:00Z,34025
Zeghanghane,2024-01-01T00:00:00Z,31431
Tlemcen,1987-01-01T00:00:00Z,146000
Tlemcen,2008-01-01T00:00:00Z,173531
Tlemcen,2008-01-01T00:00:00Z,173500
Laï,1993-01-01T00:00:00Z,14272
Laï,2007-01-01T00:00:00Z,20261
Gagnoa,2021-01-01T00:00:00Z,277044
Titao,1996-01-01T00:00:00Z,13976
Titao,2006-01-01T00:00:00Z,19131
Titao,2019-01-01T00:00:00Z,48242
Embu,1999-01-01T00:00:00Z,41092
Livingstone,1974-01-01T00:00:00Z,58000
Livingstone,1990-01-01T00:00:00Z,76875
Livingstone,2000-01-01T00:00:00Z,97488
Livingstone,2010-01-01T00:00:00Z,136897
Livingstone,2022-01-01T00:00:00Z,177393
Hurghada,1986-11-17T00:00:00Z,22801
Hurghada,1996-11-19T00:00:00Z,60085
Hurghada,2023-01-01T00:00:00Z,214247
Constantine,1977-01-01T00:00:00Z,345566
Constantine,1987-01-01T00:00:00Z,443727
Constantine,1998-01-01T00:00:00Z,462187
Constantine,2007-01-01T00:00:00Z,442862
Constantine,2008-01-01T00:00:00Z,448374
Constantine,2012-01-01T00:00:00Z,465138
Nouaceur,1994-01-01T00:00:00Z,9989
Nouaceur,2004-01-01T00:00:00Z,12696
Nouaceur,2014-01-01T00:00:00Z,23802
Nouaceur,2024-01-01T00:00:00Z,36326
Blantyre,1977-01-01T00:00:00Z,219011
Blantyre,1988-01-01T00:00:00Z,478155
Blantyre,2008-01-01T00:00:00Z,732518
Blantyre,2012-01-01T00:00:00Z,1895973
Blantyre,2018-01-01T00:00:00Z,800264
Mamfe,2017-01-01T00:00:00Z,36500
Kütahya,2018-01-01T00:00:00Z,266784
Damietta,1986-11-17T00:00:00Z,89069
Damietta,1996-11-19T00:00:00Z,78265
Damietta,2006-11-11T00:00:00Z,206664
Karnak,2006-11-01T00:00:00Z,26488
Bizerte,2004-01-01T00:00:00Z,114371
Bizerte,2007-01-01T00:00:00Z,117126
Bizerte,2009-01-01T00:00:00Z,119243
Bizerte,2011-01-01T00:00:00Z,121483
Bizerte,2013-01-01T00:00:00Z,126491
Bizerte,2014-01-01T00:00:00Z,142966
Harar,2015-01-01T00:00:00Z,129000
Berbera,2007-01-01T00:00:00Z,263000
Sabratha,2004-01-01T00:00:00Z,102038
Bulawayo,2012-01-01T00:00:00Z,653337
Bulawayo,2022-01-01T00:00:00Z,665940
Dire Dawa,2015-01-01T00:00:00Z,277000
Oujda,1982-09-03T00:00:00Z,260082
Oujda,1994-01-01T00:00:00Z,357278
Oujda,2004-01-01T00:00:00Z,400738
Oujda,2014-01-01T00:00:00Z,494252
Oujda,2019-01-01T00:00:00Z,558000
Oujda,2023-07-01T00:00:00Z,614000
Oujda,2024-01-01T00:00:00Z,506224
Mahmoudiyah,2006-01-01T00:00:00Z,28277
Kibaha,2002-01-01T00:00:00Z,23050
Nefasit,2000-01-01T00:00:00Z,8600
Ben Slimane,1994-01-01T00:00:00Z,36977
Ben Slimane,2004-01-01T00:00:00Z,46478
Ben Slimane,2014-01-01T00:00:00Z,57101
Ben Slimane,2024-01-01T00:00:00Z,67317
Ruwa,2002-01-01T00:00:00Z,22038
Errachidia,1994-01-01T00:00:00Z,62542
Errachidia,2004-01-01T00:00:00Z,76759
Errachidia,2014-01-01T00:00:00Z,92374
Errachidia,2024-01-01T00:00:00Z,97687
Médéa,2008-01-01T00:00:00Z,138355
Evinayong,1983-01-01T00:00:00Z,3170
Evinayong,2001-01-01T00:00:00Z,7997
Evinayong,2005-01-01T00:00:00Z,8462
Evinayong,2012-01-01T00:00:00Z,9155
Port Fuad,2006-11-11T00:00:00Z,70417
Uyo,2016-01-01T00:00:00Z,429900
Tibati,2005-01-01T00:00:00Z,72081
Muyinga,2008-01-01T00:00:00Z,9609
Niamtougou,2005-01-01T00:00:00Z,22986
Niamtougou,2023-01-01T00:00:00Z,27132
Bubanza,2008-01-01T00:00:00Z,20031
Aba,1991-11-26T00:00:00Z,500183
Aba,2006-03-21T00:00:00Z,795000
Aba,2022-03-21T00:00:00Z,1160000
Ziguinchor,1976-01-01T00:00:00Z,69646
Ziguinchor,1988-01-01T00:00:00Z,124283
Ziguinchor,2002-01-01T00:00:00Z,153269
Ziguinchor,2013-01-01T00:00:00Z,205294
Faiyum,2006-11-11T00:00:00Z,315940
Faiyum,2018-07-01T00:00:00Z,489377
Faiyum,2021-07-01T00:00:00Z,519047
Umuahia,2006-01-01T00:00:00Z,359230
Zinder,1977-01-01T00:00:00Z,53914
Zinder,1988-01-01T00:00:00Z,119827
Zinder,2001-01-01T00:00:00Z,170574
Zinder,2012-01-01T00:00:00Z,235605
Goma Nord Kivu,2005-01-01T00:00:00Z,249862
Goma Nord Kivu,2024-01-01T00:00:00Z,781875
El Alamein,2006-11-11T00:00:00Z,2413
Kananga,2017-01-01T00:00:00Z,1971704
Tamanrasset,2008-01-01T00:00:00Z,92635
Abeokuta,2010-01-01T00:00:00Z,801282
Abeokuta,2012-01-01T00:00:00Z,888924
Zliten,2011-01-01T00:00:00Z,200
Huambo,2014-01-01T00:00:00Z,665564
Huambo,2019-01-01T00:00:00Z,844000
Surman,2023-01-01T00:00:00Z,100707
Agboville,2021-01-01T00:00:00Z,135082
Kaduna,2006-01-01T00:00:00Z,760084
Monastir,2014-01-01T00:00:00Z,93306
Aïn Beïda,2008-01-01T00:00:00Z,116064
Nkayi,2007-01-01T00:00:00Z,71620
Nkayi,2018-01-01T00:00:00Z,100783
Sidi Kacem,1994-01-01T00:00:00Z,67622
Sidi Kacem,2004-01-01T00:00:00Z,74062
Sidi Kacem,2014-01-01T00:00:00Z,75672
Sidi Kacem,2024-01-01T00:00:00Z,75037
Ghat,2011-01-01T00:00:00Z,22000
Beira,1970-01-01T00:00:00Z,113770
Beira,1980-01-01T00:00:00Z,230744
Beira,1984-01-01T00:00:00Z,350000
Beira,1986-01-01T00:00:00Z,246000
Beira,1997-01-01T00:00:00Z,397368
Beira,2005-01-01T00:00:00Z,530700
Beira,2007-01-01T00:00:00Z,436240
Beira,2008-01-01T00:00:00Z,439264
Beira,2017-01-01T00:00:00Z,533825
Beira,2019-01-01T00:00:00Z,530604
Entebbe,2014-01-01T00:00:00Z,69958
Benguela,2014-01-01T00:00:00Z,561775
Thyolo,2008-01-01T00:00:00Z,7029
Kisumu,2009-01-01T00:00:00Z,409928
Rîbnița,2004-01-01T00:00:00Z,56988
Kabwe,1974-01-01T00:00:00Z,98000
Kabwe,1990-08-20T00:00:00Z,154318
Kabwe,2000-10-20T00:00:00Z,176758
Kabwe,2010-10-16T00:00:00Z,202360
Kabwe,2022-01-01T00:00:00Z,299206
Essaouira,1994-01-01T00:00:00Z,56074
Essaouira,2004-01-01T00:00:00Z,69493
Essaouira,2004-01-01T00:00:00Z,70000
Essaouira,2014-01-01T00:00:00Z,77966
Essaouira,2024-01-01T00:00:00Z,82962
Blida,1983-01-01T00:00:00Z,191000
Blida,1987-01-01T00:00:00Z,131600
Blida,2005-01-01T00:00:00Z,162000
Blida,2008-01-01T00:00:00Z,163586
Tamale,1970-01-01T00:00:00Z,83653
Tamale,1984-01-01T00:00:00Z,135952
Tamale,2000-01-01T00:00:00Z,202317
Tamale,2010-01-01T00:00:00Z,371351
Tamale,2016-01-01T00:00:00Z,466723
Tamale,2021-01-01T00:00:00Z,2310939
Tamale,2022-01-01T00:00:00Z,701000
Tamale,2023-01-01T00:00:00Z,729768
Ismailia,1986-11-17T00:00:00Z,158045
Ismailia,1996-11-19T00:00:00Z,255134
Ismailia,2006-11-11T00:00:00Z,293184
Ismailia,2021-01-01T00:00:00Z,429465
Soweto,2011-01-01T00:00:00Z,1271628
Savé,2013-01-01T00:00:00Z,31444
Gondar,1984-01-01T00:00:00Z,80886
Gondar,1994-01-01T00:00:00Z,112249
Gondar,2007-01-01T00:00:00Z,207044
Gondar,2015-01-01T00:00:00Z,323900
Irgalem,2007-01-01T00:00:00Z,30348
Vohemar,2001-01-01T00:00:00Z,15000
Zomba,2008-01-01T00:00:00Z,101140
